"","x"
"kraken_1559 Acetobacteraceae.g Acetobacter",4
"kraken_1561 Acetobacteraceae.g Rhodovastum",4
"kraken_1563 Acetobacteraceae.g Kozakia",2
"kraken_1564 Acetobacteraceae.g Entomobacter",3
"kraken_1565 Acetobacteraceae.g Novacetimonas",3
"kraken_1566 Acetobacteraceae.g Acidocella",4
"kraken_1567 Acetobacteraceae.g Lichenicola",4
"kraken_1568 Acetobacteraceae.g Neokomagataea",3
"kraken_1575 Azospirillaceae.g Azospirillum",9
"kraken_1576 Azospirillaceae.g Skermanella",6
"kraken_1578 Azospirillaceae.g Niveispirillum",4
"kraken_1579 Azospirillaceae.g Nitrospirillum",4
"kraken_1582 Rhodospirillaceae.g Magnetospirillum",6
"kraken_1585 Rhodospirillaceae.g Rhodospirillum",4
"kraken_1586 Elioraeaceae.g Elioraea",4
"kraken_1587 Stellaceae.g Stella",4
"kraken_1596 Caulobacteraceae.g Brevundimonas",8
"kraken_1603 Caulobacteraceae.g Caulobacter",9
"kraken_1608 Caulobacteraceae.g Phenylobacterium",6
"kraken_1612 Caulobacteraceae.g Asticcacaulis",6
"kraken_1613 Caulobacteraceae.g Terricaulis",4
"kraken_1614 Rickettsiaceae.g Rickettsia",2
"kraken_1618 Rickettsiaceae.g Orientia",3
"kraken_1619 Anaplasmataceae.g Anaplasma",3
"kraken_1620 Anaplasmataceae.g Neorickettsia",3
"kraken_1621 Candidatus Deianiraeaceae.g Candidatus Deianiraea",3
"kraken_1622 Hyphomonadaceae.g Candidatus Viadribacter",2
"kraken_1624 Hyphomonadaceae.g Hirschia",3
"kraken_1625 Maricaulaceae.g Maricaulis",2
"kraken_1626 Maricaulaceae.g Marinicauda",2
"kraken_1627 Emcibacteraceae.g Pseudemcibacter",3
"kraken_1629 Magnetococcaceae.g Magnetococcus",3
"kraken_1630 Mariprofundaceae.g Mariprofundus",2
"kraken_1631 Hydrogenophilaceae.g Hydrogenophilus",2
"kraken_1634 Corynebacteriaceae.g Corynebacterium",9
"kraken_1707 Mycobacteriaceae.g Mycobacterium",9
"kraken_1751 Mycobacteriaceae.g Mycolicibacterium",9
"kraken_1770 Mycobacteriaceae.g Mycolicibacillus",4
"kraken_1771 Mycobacteriaceae.g Mycobacteroides",7
"kraken_1789 Nocardiaceae.g Rhodococcus",9
"kraken_1794 Nocardiaceae.g Nocardia",9
"kraken_1808 Dietziaceae.g Dietzia",7
"kraken_1818 Gordoniaceae.g Gordonia",9
"kraken_1828 Tsukamurellaceae.g Tomitella",4
"kraken_1830 Lawsonellaceae.g Lawsonella",2
"kraken_1831 Hoyosellaceae.g Hoyosella",2
"kraken_1870 Microbacteriaceae.g Microbacterium",8
"kraken_1877 Microbacteriaceae.g Rhodoluna",4
"kraken_1881 Microbacteriaceae.g Aquiluna",4
"kraken_1888 Microbacteriaceae.g Curtobacterium",9
"kraken_1892 Microbacteriaceae.g Aurantimicrobium",7
"kraken_1900 Microbacteriaceae.g Leucobacter",9
"kraken_1907 Microbacteriaceae.g Agromyces",9
"kraken_1914 Microbacteriaceae.g Agrococcus",7
"kraken_1916 Microbacteriaceae.g Gulosibacter",7
"kraken_1918 Microbacteriaceae.g Microcella",7
"kraken_1921 Microbacteriaceae.g Rathayibacter",9
"kraken_1933 Microbacteriaceae.g Plantibacter",8
"kraken_1936 Microbacteriaceae.g Cryobacterium",9
"kraken_1941 Microbacteriaceae.g Frigoribacterium",9
"kraken_1942 Microbacteriaceae.g Glaciihabitans",7
"kraken_1943 Microbacteriaceae.g Herbiconiux",7
"kraken_1949 Microbacteriaceae.g Protaetiibacter",7
"kraken_1950 Microbacteriaceae.g Humibacter",7
"kraken_1951 Microbacteriaceae.g Agreia",7
"kraken_1952 Microbacteriaceae.g Marisediminicola",7
"kraken_1953 Microbacteriaceae.g Mycetocola",7
"kraken_1954 Microbacteriaceae.g Homoserinibacter",7
"kraken_1955 Microbacteriaceae.g Cnuibacter",7
"kraken_1956 Micrococcaceae.g Micrococcus",7
"kraken_1992 Micrococcaceae.g Kocuria",7
"kraken_1994 Micrococcaceae.g Citricoccus",7
"kraken_2000 Micrococcaceae.g Pseudarthrobacter",7
"kraken_2003 Micrococcaceae.g Rothia",7
"kraken_2008 Micrococcaceae.g Nesterenkonia",4
"kraken_2011 Micrococcaceae.g Paenarthrobacter",7
"kraken_2013 Micrococcaceae.g Glutamicibacter",7
"kraken_2016 Micrococcaceae.g Pseudoglutamicibacter",4
"kraken_2017 Micrococcaceae.g Auritidibacter",2
"kraken_2018 Micrococcaceae.g Renibacterium",4
"kraken_2020 Micrococcaceae.g Paeniglutamicibacter",7
"kraken_2021 Ornithinimicrobiaceae.g Ornithinimicrobium",7
"kraken_2031 Ornithinimicrobiaceae.g Serinicoccus",7
"kraken_2040 Cellulomonadaceae.g Cellulomonas",9
"kraken_2049 Cellulomonadaceae.g Actinotalea",4
"kraken_2050 Cellulomonadaceae.g Oerskovia",7
"kraken_2051 Cellulomonadaceae.g Paraoerskovia",4
"kraken_2052 Cellulomonadaceae.g Pseudactinotalea",4
"kraken_2056 Intrasporangiaceae.g Janibacter",7
