"","x"
"kraken_6023 Parvibaculaceae.g Candidatus Phaeomarinobacter",2
"kraken_6024 Chelatococcaceae.g Chelatococcus",4
"kraken_6026 Pleomorphomonadaceae.g Hartmannibacter",4
"kraken_6027 Lichenihabitantaceae.g Lichenihabitans",4
"kraken_6063 Sphingomonadaceae.g Sphingobium",9
"kraken_6071 Sphingomonadaceae.g Novosphingobium",9
"kraken_6079 Sphingomonadaceae.g Blastomonas",2
"kraken_6081 Sphingomonadaceae.g Tardibacter",4
"kraken_6083 Sphingomonadaceae.g Aquisediminimonas",2
"kraken_6094 Erythrobacteraceae.g Porphyrobacter",4
"kraken_6096 Erythrobacteraceae.g Altererythrobacter",6
"kraken_6100 Erythrobacteraceae.g Qipengyuania",6
"kraken_6111 Erythrobacteraceae.g Croceibacterium",2
"kraken_6112 Erythrobacteraceae.g Pelagerythrobacter",2
"kraken_6116 Sphingosinicellaceae.g Polymorphobacter",4
"kraken_6117 Sphingosinicellaceae.g Sandaracinobacteroides",4
"kraken_6118 Zymomonadaceae.g Zymomonas",2
"kraken_6134 Paracoccaceae.g Gemmobacter",4
"kraken_6137 Paracoccaceae.g Rhodovulum",4
"kraken_6139 Paracoccaceae.g Fuscovulum",4
"kraken_6140 Paracoccaceae.g Pelagovum",4
"kraken_6141 Paracoccaceae.g Silicimonas",2
"kraken_6142 Paracoccaceae.g Pikeienuella",2
"kraken_6143 Paracoccaceae.g Paroceanicella",4
"kraken_6144 Paracoccaceae.g Pseudooceanicola",4
"kraken_6146 Paracoccaceae.g Roseicitreum",2
"kraken_6147 Paracoccaceae.g Frigidibacter",4
"kraken_6148 Paracoccaceae.g Rhodophyticola",2
"kraken_6149 Paracoccaceae.g Polymorphum",4
"kraken_6150 Paracoccaceae.g Tritonibacter",2
"kraken_6152 Paracoccaceae.g Pontibrevibacter",2
"kraken_6153 Paracoccaceae.g Pseudorhodobacter",2
"kraken_6154 Paracoccaceae.g Algicella",2
"kraken_6155 Paracoccaceae.g Qingshengfaniella",2
"kraken_6156 Paracoccaceae.g Pacificitalea",2
"kraken_6157 Paracoccaceae.g Gymnodinialimonas",2
"kraken_6158 Paracoccaceae.g Parasedimentitalea",2
"kraken_6177 Roseobacteraceae.g Roseovarius",6
"kraken_6181 Roseobacteraceae.g Pseudosulfitobacter",4
"kraken_6184 Roseobacteraceae.g Celeribacter",4
"kraken_6187 Roseobacteraceae.g Ketogulonicigenium",4
"kraken_6188 Roseobacteraceae.g Ponticoccus",2
"kraken_6191 Roseobacteraceae.g Ruegeria",4
"kraken_6193 Roseobacteraceae.g Thalassobacter",2
"kraken_6194 Roseobacteraceae.g Yangia",4
"kraken_6195 Roseobacteraceae.g Roseobacter",4
"kraken_6198 Roseobacteraceae.g Roseivivax",4
"kraken_6200 Roseobacteraceae.g Octadecabacter",4
"kraken_6201 Roseobacteraceae.g Thalassobius",2
"kraken_6202 Roseobacteraceae.g Sagittula",4
"kraken_6203 Roseobacteraceae.g Loktanella",2
"kraken_6204 Roseobacteraceae.g Dinoroseobacter",2
"kraken_6205 Roseobacteraceae.g Actibacterium",2
"kraken_6206 Roseobacteraceae.g Oceanicola",2
"kraken_6207 Roseobacteraceae.g Thalassococcus",2
"kraken_6217 Acetobacteraceae.g Roseococcus",4
"kraken_6218 Acetobacteraceae.g Sediminicoccus",4
"kraken_6220 Acetobacteraceae.g Granulibacter",2
"kraken_6222 Acetobacteraceae.g Gluconobacter",4
"kraken_6223 Acetobacteraceae.g Acidibrevibacterium",4
"kraken_6224 Acetobacteraceae.g Acidisoma",2
"kraken_6225 Acetobacteraceae.g Asaia",2
"kraken_6226 Acetobacteraceae.g Gluconacetobacter",4
"kraken_6227 Acetobacteraceae.g Formicincola",3
"kraken_6228 Acetobacteraceae.g Oecophyllibacter",3
"kraken_6229 Acetobacteraceae.g Parasaccharibacter",3
"kraken_6230 Acetobacteraceae.g Aristophania",3
"kraken_6231 Acetobacteraceae.g Commensalibacter",3
"kraken_6240 Azospirillaceae.g Indioceanicola",4
"kraken_6242 Rhodospirillaceae.g Hypericibacter",6
"kraken_6243 Rhodospirillaceae.g Ferrovibrio",4
"kraken_6244 Rhodospirillaceae.g Defluviicoccus",2
"kraken_6245 Rhodospirillaceae.g Haematospirillum",3
"kraken_6246 Rhodospirillaceae.g Candidatus Endolissoclinum",2
"kraken_6248 Thalassospiraceae.g Thalassospira",4
"kraken_6250 Thalassospiraceae.g Magnetospira",2
"kraken_6251 Thalassospiraceae.g Varunaivibrio",2
"kraken_6252 Geminicoccaceae.g Tistrella",4
"kraken_6253 Kiloniellaceae.g Aestuariispira",2
"kraken_6254 Thalassobaculaceae.g Nisaea",4
"kraken_6279 Anaplasmataceae.g Ehrlichia",2
"kraken_6288 Rickettsiaceae.g Candidatus Megaira",3
"kraken_6289 Candidatus Midichloriaceae.g Candidatus Bandiella",3
"kraken_6290 Candidatus Midichloriaceae.g Candidatus Fokinia",3
"kraken_6292 Hyphomonadaceae.g Hyphomonas",6
"kraken_6294 Maricaulaceae.g Hyphobacterium",2
"kraken_6295 Maricaulaceae.g Glycocaulis",2
"kraken_6296 Caedimonadaceae.g Candidatus Nucleicultrix",3
"kraken_6297 Holosporaceae.g Candidatus Cytomitobacter",3
"kraken_6298 Holosporaceae.g Sneathiella",3
"kraken_6299 Holosporaceae.g Candidatus Hydrogenosomobacter",3
"kraken_6300 Candidatus Paracaedibacteraceae.g Candidatus Paracaedibacter",3
"kraken_6301 Kordiimonadaceae.g Kordiimonas",2
"kraken_6303 Parvularculaceae.g Aquisalinus",2
"kraken_6304 Parvularculaceae.g Parvularcula",2
"kraken_6305 Parvularculaceae.g Hyphococcus",3
"kraken_6307 Emcibacteraceae.g Luteithermobacter",2
"kraken_6310 Pelagibacteraceae.g Candidatus Fonsibacter",3
"kraken_6321 Comamonadaceae.g Serpentinimonas",6
"kraken_6380 Burkholderiaceae.g Limnobacter",2
"kraken_6381 Burkholderiaceae.g Ephemeroptericola",2
"kraken_6382 Burkholderiaceae.g Mycoavidus",2
"kraken_6385 Burkholderiaceae.g Mycetohabitans",4
"kraken_6405 Oxalobacteraceae.g Undibacterium",6
"kraken_6406 Oxalobacteraceae.g Oxalobacter",4
"kraken_6426 Alcaligenaceae.g Orrella",6
"kraken_6429 Alcaligenaceae.g Paralcaligenes",4
"kraken_6431 Sphaerotilaceae.g Thiomonas",6
"kraken_6434 Sphaerotilaceae.g Candidatus Ichthyocystis",3
"kraken_6435 Sutterellaceae.g Sutterella",2
"kraken_6437 Sutterellaceae.g Duodenibacillus",2
"kraken_6448 Neisseriaceae.g Vitreoscilla",4
"kraken_6449 Neisseriaceae.g Chitinolyticbacter",4
"kraken_6451 Neisseriaceae.g Eikenella",2
"kraken_6452 Neisseriaceae.g Snodgrassella",3
"kraken_6456 Chromobacteriaceae.g Iodobacter",2
"kraken_6458 Chromobacteriaceae.g Paludibacterium",4
"kraken_6459 Chromobacteriaceae.g Jeongeupia",6
"kraken_6460 Chromobacteriaceae.g Pseudogulbenkiania",4
"kraken_6461 Chromobacteriaceae.g Vogesella",4
"kraken_6462 Chromobacteriaceae.g Microvirgula",4
"kraken_6469 Zoogloeaceae.g Pseudazoarcus",4
"kraken_6470 Zoogloeaceae.g Parazoarcus",4
"kraken_6473 Rhodocyclaceae.g Aromatoleum",6
"kraken_6474 Rhodocyclaceae.g Oryzomicrobium",4
"kraken_6475 Rhodocyclaceae.g Niveibacterium",4
"kraken_6477 Azonexaceae.g Ferribacterium",6
"kraken_6478 Azonexaceae.g Quatrionicoccus",4
"kraken_6480 Sterolibacteriaceae.g Sulfuritalea",4
"kraken_6482 Sterolibacteriaceae.g Sulfuricystis",4
"kraken_6483 Sterolibacteriaceae.g Rugosibacter",2
"kraken_6484 Methylophilaceae.g Candidatus Methylopumilus",2
"kraken_6485 Methylophilaceae.g Methylovorus",2
"kraken_6486 Methylophilaceae.g Methyloradius",2
"kraken_6487 Gallionellaceae.g Ferriphaselus",2
"kraken_6489 Gallionellaceae.g Sideroxyarcus",2
"kraken_6490 Sulfuricellaceae.g Sulfuriferula",4
"kraken_6493 Usitatibacteraceae.g Usitatibacter",4
"kraken_6494 Thiobacillaceae.g Thiobacillus",2
"kraken_6495 Nitrosomonadaceae.g Nitrosomonas",4
"kraken_6498 Casimicrobiaceae.g Casimicrobium",4
"kraken_6499 Casimicrobiaceae.g Candidatus Kinetoplastibacterium",2
"kraken_6501 Acidithiobacillaceae.g Acidithiobacillus",4
"kraken_6506 Hymenobacteraceae.g Hymenobacter",9
"kraken_6535 Hymenobacteraceae.g Pontibacter",1
"kraken_6552 Cytophagaceae.g Rhodocytophaga",5
"kraken_6553 Cytophagaceae.g Cytophaga",5
"kraken_6560 Spirosomaceae.g Larkinella",5
"kraken_6561 Spirosomaceae.g Arcticibacterium",5
"kraken_6562 Spirosomaceae.g Leadbetterella",5
"kraken_6566 Cyclobacteriaceae.g Algoriphagus",1
"kraken_6567 Cyclobacteriaceae.g Belliella",5
"kraken_6570 Flammeovirgaceae.g Chondrinema",5
"kraken_6573 Amoebophilaceae.g Candidatus Cardinium",2
"kraken_6574 Amoebophilaceae.g Candidatus Amoebophilus",2
"kraken_6575 Reichenbachiellaceae.g Reichenbachiella",5
"kraken_6576 Marivirgaceae.g Marivirga",5
"kraken_6577 Persicobacteraceae.g Persicobacter",5
"kraken_6601 Flavobacteriaceae.g Polaribacter",1
"kraken_6609 Flavobacteriaceae.g Tenacibaculum",1
"kraken_6611 Flavobacteriaceae.g Capnocytophaga",1
"kraken_6621 Flavobacteriaceae.g Winogradskyella",1
"kraken_6625 Flavobacteriaceae.g Nonlabens",1
"kraken_6640 Flavobacteriaceae.g Formosa",1
"kraken_6646 Flavobacteriaceae.g Lutibacter",1
"kraken_6648 Flavobacteriaceae.g Muricauda",1
"kraken_6650 Flavobacteriaceae.g Kordia",1
"kraken_6651 Flavobacteriaceae.g Psychroflexus",5
"kraken_6656 Flavobacteriaceae.g Mesoflavibacter",5
"kraken_6664 Flavobacteriaceae.g Antarcticibacterium",1
"kraken_6667 Flavobacteriaceae.g Salegentibacter",1
"kraken_6668 Flavobacteriaceae.g Sediminicola",5
"kraken_6669 Flavobacteriaceae.g Pseudalgibacter",5
"kraken_6670 Flavobacteriaceae.g Tamlana",5
"kraken_6672 Flavobacteriaceae.g Rasiella",5
"kraken_6675 Flavobacteriaceae.g Leeuwenhoekiella",5
"kraken_6677 Flavobacteriaceae.g Bizionia",5
"kraken_6679 Flavobacteriaceae.g Amniculibacterium",1
"kraken_6680 Flavobacteriaceae.g Salinimicrobium",5
"kraken_6681 Flavobacteriaceae.g Wenyingzhuangia",5
"kraken_6683 Flavobacteriaceae.g Psychroserpens",5
"kraken_6684 Flavobacteriaceae.g Arenibacter",5
"kraken_6685 Flavobacteriaceae.g Gilvibacter",5
"kraken_6686 Flavobacteriaceae.g Siansivirga",5
"kraken_6687 Flavobacteriaceae.g Flagellimonas",5
"kraken_6688 Flavobacteriaceae.g Costertonia",5
"kraken_6689 Flavobacteriaceae.g Abyssalbus",5
"kraken_6690 Flavobacteriaceae.g Candidatus Arcticimaribacter",5
"kraken_6691 Flavobacteriaceae.g Aegicerativicinus",5
"kraken_6720 Weeksellaceae.g Empedobacter",1
"kraken_6721 Weeksellaceae.g Elizabethkingia",1
"kraken_6724 Weeksellaceae.g Cloacibacterium",1
"kraken_6726 Weeksellaceae.g Cruoricaptor",5
"kraken_6727 Weeksellaceae.g Ornithobacterium",5
"kraken_6728 Weeksellaceae.g Bergeyella",5
"kraken_6731 Schleiferiaceae.g Owenweeksia",5
"kraken_6732 Schleiferiaceae.g Croceimicrobium",5
"kraken_6733 Parvicellaceae.g Candidatus Karelsulcia",2
"kraken_6734 Parvicellaceae.g Parvicella",5
"kraken_6735 Bacteroidaceae.g Bacteroides",1
"kraken_6753 Bacteroidaceae.g Phocaeicola",5
"kraken_6771 Prevotellaceae.g Paraprevotella",2
"kraken_6773 Prevotellaceae.g Pseudoprevotella",2
"kraken_6774 Rikenellaceae.g Alistipes",6
"kraken_6781 Tannerellaceae.g Parabacteroides",1
"kraken_6784 Tannerellaceae.g Tannerella",5
"kraken_6786 Porphyromonadaceae.g Porphyromonas",5
"kraken_6789 Muribaculaceae.g Muribaculum",2
"kraken_6790 Muribaculaceae.g Sodaliphilus",2
"kraken_6791 Odoribacteraceae.g Odoribacter",2
"kraken_6792 Odoribacteraceae.g Butyricimonas",5
"kraken_6794 Barnesiellaceae.g Barnesiella",2
"kraken_6796 Marinilabiliaceae.g Alkaliflexus",5
"kraken_6797 Marinifilaceae.g Labilibaculum",5
"kraken_6799 Sphingobacteriaceae.g Pedobacter",8
"kraken_6824 Sphingobacteriaceae.g Mucilaginibacter",1
"kraken_6832 Sphingobacteriaceae.g Solitalea",1
"kraken_6833 Sphingobacteriaceae.g Pseudopedobacter",1
"kraken_6834 Sphingobacteriaceae.g Anseongella",5
"kraken_6840 Chitinophagaceae.g Ferruginibacter",5
"kraken_6842 Chitinophagaceae.g Flavisolibacter",5
"kraken_6843 Chitinophagaceae.g Pseudobacter",5
"kraken_6844 Chitinophagaceae.g Pseudocnuella",5
"kraken_6845 Chitinophagaceae.g Niabella",5
"kraken_6846 Chitinophagaceae.g Filimonas",5
"kraken_6847 Haliscomenobacteraceae.g Haliscomenobacter",5
"kraken_6849 Haliscomenobacteraceae.g Candidatus Sulfidibacterium",2
"kraken_6850 Chlorobiaceae.g Chlorobium",2
"kraken_6852 Chlorobiaceae.g Pelodictyon",2
"kraken_6853 Chlorobiaceae.g Chlorobaculum",2
"kraken_6854 Chlorobiaceae.g Prosthecochloris",2
"kraken_6855 Salinibacteraceae.g Salinibacter",2
"kraken_6856 Cyclonatronaceae.g Cyclonatronum",2
"kraken_6857 Melioribacteraceae.g Melioribacter",2
"kraken_6859 Candidatus Cloacimonadaceae.g Candidatus Cloacimonas",3
"kraken_6860 Myxococcaceae.g Myxococcus",6
"kraken_6863 Myxococcaceae.g Corallococcus",6
"kraken_6865 Myxococcaceae.g Pyxidicoccus",4
"kraken_6868 Anaeromyxobacteraceae.g Anaeromyxobacter",7
"kraken_6869 Polyangiaceae.g Pajaroellobacter",3
"kraken_6871 Gemmataceae.g Telmatocola",3
"kraken_6876 Pirellulaceae.g Rhodopirellula",2
"kraken_6877 Pirellulaceae.g Rubripirellula",2
"kraken_6878 Pirellulaceae.g Lignipirellula",2
"kraken_6879 Pirellulaceae.g Mariniblastus",2
"kraken_6880 Lacipirellulaceae.g Botrimarina",2
"kraken_6881 Lacipirellulaceae.g Aeoliella",2
"kraken_6883 Planctomycetaceae.g Gimesia",5
"kraken_6887 Planctomycetaceae.g Fuerstiella",2
"kraken_6888 Planctomycetaceae.g Calycomorphotria",3
"kraken_6889 Planctomycetaceae.g Rubinisphaera",3
"kraken_6890 Planctomycetaceae.g Crateriforma",3
"kraken_6891 Planctomycetaceae.g Thalassoglobus",3
"kraken_6892 Isosphaeraceae.g Tautonia",4
"kraken_6893 Isosphaeraceae.g Paludisphaera",4
"kraken_6894 Phycisphaeraceae.g Phycisphaera",4
"kraken_6895 Phycisphaeraceae.g Poriferisphaera",3
"kraken_6896 Anaerohalosphaeraceae.g Anaerohalosphaera",3
"kraken_6897 Candidatus Uabimicrobiaceae.g Candidatus Uabimicrobium",2
"kraken_6898 Candidatus Brocadiaceae.g Candidatus Kuenenia",2
"kraken_6899 Opitutaceae.g Opitutus",4
"kraken_6900 Opitutaceae.g Ereboglobus",2
"kraken_6901 Puniceicoccaceae.g Coraliomargarita",3
"kraken_6902 Puniceicoccaceae.g Ruficoccus",2
"kraken_6903 Puniceicoccaceae.g Candidatus Pelagisphaera",3
"kraken_6905 Verrucomicrobiaceae.g Verrucomicrobium",4
"kraken_6906 Fontisphaeraceae.g Fontisphaera",2
"kraken_6908 Methylacidiphilaceae.g Candidatus Xiphinematobacter",3
"kraken_6911 Chlamydiaceae.g Chlamydia",2
"kraken_6912 Simkaniaceae.g Simkania",3
"kraken_6913 Tichowtungiaceae.g Tichowtungia",2
"kraken_6920 Arcobacteraceae.g Arcobacter",5
"kraken_6923 Arcobacteraceae.g Halarcobacter",2
"kraken_6926 Arcobacteraceae.g Poseidonibacter",2
"kraken_6953 Sulfurimonadaceae.g Sulfurimonas",5
"kraken_6954 Sulfurimonadaceae.g Sulfuricurvum",3
"kraken_6955 Sulfurovaceae.g Sulfurovum",2
"kraken_6956 Nitratiruptoraceae.g Nitrosophilus",2
"kraken_6958 Hippeaceae.g Hippea",3
"kraken_6964 Desulfovibrionaceae.g Pseudodesulfovibrio",6
"kraken_6972 Desulfovibrionaceae.g Solidesulfovibrio",4
"kraken_6975 Desulfovibrionaceae.g Desulfolutivibrio",2
"kraken_6976 Desulfovibrionaceae.g Oleidesulfovibrio",3
"kraken_6977 Desulfovibrionaceae.g Desulfocurvibacter",2
"kraken_6978 Desulfovibrionaceae.g Oceanidesulfovibrio",2
"kraken_6980 Desulfovibrionaceae.g Lawsonia",3
"kraken_6981 Desulfomicrobiaceae.g Desulfomicrobium",2
"kraken_6982 Desulfomicrobiaceae.g Thermodesulfomicrobium",3
"kraken_6989 Geobacteraceae.g Geomonas",4
"kraken_6993 Syntrophotaleaceae.g Syntrophotalea",2
"kraken_6996 Geoalkalibacteraceae.g Geoalkalibacter",2
"kraken_6998 Desulfuromonadaceae.g Pelobacter",3
"kraken_7001 Desulfococcaceae.g Desulfococcus",3
"kraken_7002 Desulfobacteraceae.g Desulfobacula",3
"kraken_7003 Desulfobacteraceae.g Desulforapulum",3
"kraken_7004 Desulfatibacillaceae.g Desulfatibacillum",2
"kraken_7005 Desulfocapsaceae.g Desulfofustis",3
"kraken_7006 Desulfocapsaceae.g Desulfotalea",3
"kraken_7007 Desulfobulbaceae.g Desulfomarina",3
"kraken_7008 Desulfobulbaceae.g Desulfolithobacter",3
"kraken_7009 Thermodesulfobacteriaceae.g Thermosulfuriphilus",3
"kraken_7010 Thermodesulfobacteriaceae.g Thermodesulfobacterium",2
"kraken_7012 Thermodesulfobacteriaceae.g Thermosulfurimonas",3
"kraken_7013 Thermodesulfatatoraceae.g Thermodesulfatator",3
"kraken_7014 Desulfarculaceae.g Desulfarculus",2
"kraken_7015 Syntrophobacteraceae.g Desulfoglaeba",3
"kraken_7016 Desulfobaccaceae.g Desulfobacca",3
"kraken_7017 Syntrophaceae.g Syntrophus",3
"kraken_7027 Leptotrichiaceae.g Sebaldella",2
"kraken_7028 Leptotrichiaceae.g Sneathia",2
"kraken_7029 Leptotrichiaceae.g Pseudoleptotrichia",2
"kraken_7032 Acidobacteriaceae.g Granulicella",4
"kraken_7035 Acidobacteriaceae.g Acidobacterium",3
"kraken_7036 Acidobacteriaceae.g Edaphobacter",4
"kraken_7039 Bryobacteraceae.g Paludibaculum",2
"kraken_7040 Thermotomaculaceae.g Thermotomaculum",3
"kraken_7041 Acanthopleuribacteraceae.g Chloracidobacterium",3
"kraken_7043 Thermotomaculaceae.g Chloracidobacterium",2
"kraken_7045 Treponemataceae.g Treponema",5
"kraken_7054 Treponemataceae.g Brucepastera",2
"kraken_7055 Borreliaceae.g Borrelia",2
"kraken_7060 Spirochaetaceae.g Thiospirochaeta",2
"kraken_7061 Spirochaetaceae.g Oceanispirochaeta",3
"kraken_7063 Sphaerochaetaceae.g Sphaerochaeta",2
"kraken_7065 Breznakiellaceae.g Gracilinema",3
"kraken_7066 Breznakiellaceae.g Breznakiella",3
"kraken_7070 Candidatus Nanosynbacteraceae.g Candidatus Nanosynbacter",2
"kraken_7072 Candidatus Saccharimonadaceae.g Candidatus Minimicrobia",3
"kraken_7073 Candidatus Chromulinivoraceae.g Candidatus Chromulinivorax",3
"kraken_7074 Synergistaceae.g Aminomonas",3
"kraken_7076 Synergistaceae.g Thermanaerovibrio",3
"kraken_7077 Aminobacteriaceae.g Aminobacterium",3
"kraken_7078 Dethiosulfovibrionaceae.g Pyramidobacter",2
"kraken_7079 Acetomicrobiaceae.g Acetomicrobium",3
"kraken_7080 Thermovirgaceae.g Thermovirga",3
"kraken_7084 Pseudobdellovibrionaceae.g Bdellovibrio",5
"kraken_7085 Pseudobdellovibrionaceae.g Pseudobdellovibrio",3
"kraken_7086 Halobacteriovoraceae.g Halobacteriovorax",2
"kraken_7088 Bradymonadaceae.g Bradymonas",3
"kraken_7089 Microvenatoraceae.g Microvenator",3
"kraken_7090 Microvenatoraceae.g Dissulfurimicrobium",3
"kraken_7091 Nitrospiraceae.g Nitrospira",4
"kraken_7092 Thermodesulfovibrionaceae.g Thermodesulfovibrio",3
"kraken_7093 Fervidobacteriaceae.g Fervidobacterium",3
"kraken_7094 Fervidobacteriaceae.g Thermosipho",2
"kraken_7095 Thermotogaceae.g Thermotoga",2
"kraken_7096 Kosmotogaceae.g Mesotoga",3
"kraken_7098 Petrotogaceae.g Marinitoga",2
"kraken_7101 Hydrogenothermaceae.g Persephonella",3
"kraken_7102 Mucispirillaceae.g Mucispirillum",2
"kraken_7104 Calditrichaceae.g Caldithrix",2
"kraken_7105 Endomicrobiaceae.g Endomicrobium",3
"kraken_7106 Caldisericaceae.g Caldisericum",3
"kraken_7107 Atribacteraceae.g Atribacter",2
"kraken_7108 Coprothermobacteraceae.g Coprothermobacter",3
"kraken_7114 Haloarculaceae.g Natronomonas",4
"kraken_7119 Haloarculaceae.g Haloglomus",4
"kraken_7122 Haloarculaceae.g Halorientalis",4
"kraken_7123 Haloarculaceae.g Haloarcula",3
"kraken_7124 Haloarculaceae.g Halosegnis",2
"kraken_7127 Halobacteriaceae.g Halobacterium",4
"kraken_7128 Halobacteriaceae.g Halomarina",4
"kraken_7133 Halobacteriaceae.g Halorussus",4
"kraken_7140 Halobacteriaceae.g Haladaptatus",2
"kraken_7141 Halobacteriaceae.g Salarchaeum",2
"kraken_7142 Halobacteriaceae.g Halodesulfurarchaeum",3
"kraken_7143 Halobacteriaceae.g Halarchaeum",2
"kraken_7144 Halobacteriaceae.g Halocatena",3
"kraken_7146 Halococcaceae.g Halococcus",2
"kraken_7148 Natronoarchaeaceae.g Salinirubellus",4
"kraken_7150 Halorubraceae.g Halobaculum",7
"kraken_7160 Halorubraceae.g Halorubrum",4
"kraken_7166 Halorubraceae.g Salinigranum",2
"kraken_7167 Halorubraceae.g Halopenitus",2
"kraken_7169 Halorubraceae.g Halohasta",3
"kraken_7171 Haloferacaceae.g Haloferax",2
"kraken_7173 Haloferacaceae.g Haloprofundus",4
"kraken_7177 Haloferacaceae.g Haloplanus",4
"kraken_7182 Natrialbaceae.g Natrinema",4
"kraken_7187 Natrialbaceae.g Halovivax",4
"kraken_7189 Natrialbaceae.g Natronococcus",2
"kraken_7192 Natrialbaceae.g Natronobiforma",3
"kraken_7195 Natrialbaceae.g Halosolutus",2
"kraken_7196 Natrialbaceae.g Halopiger",2
"kraken_7197 Natrialbaceae.g Natronobacterium",3
"kraken_7199 Natrialbaceae.g Natrialba",2
"kraken_7201 Natrialbaceae.g Halobiforma",3
"kraken_7202 Natrialbaceae.g Halostagnicola",3
"kraken_7203 Natrialbaceae.g Natrarchaeobaculum",2
"kraken_7204 Methanomicrobiaceae.g Methanofollis",2
"kraken_7207 Methanomicrobiaceae.g Methanomicrobium",3
"kraken_7208 Methanomicrobiaceae.g Methanogenium",3
"kraken_7209 Methanoregulaceae.g Methanoregula",3
"kraken_7210 Methanocorpusculaceae.g Methanocorpusculum",3
"kraken_7217 Methanosarcinaceae.g Methanohalophilus",3
"kraken_7218 Methanocellaceae.g Methanocella",3
"kraken_7220 Methanotrichaceae.g Methanothrix",3
"kraken_7224 Methanobacteriaceae.g Methanosphaera",2
"kraken_7227 Methanocaldococcaceae.g Methanocaldococcus",2
"kraken_7232 Thermococcaceae.g Thermococcus",2
"kraken_7235 Thermococcaceae.g Palaeococcus",3
"kraken_7239 Nitrosopumilaceae.g Nitrosarchaeum",3
"kraken_7240 Nitrososphaeraceae.g Candidatus Nitrosotalea",3
"kraken_7241 Nitrososphaeraceae.g Candidatus Nitrosopelagicus",3
"kraken_7243 Conexivisphaeraceae.g Conexivisphaera",3
"kraken_7247 Sulfolobaceae.g Metallosphaera",3
"kraken_7249 Thermoproteaceae.g Thermoproteus",3
"kraken_7250 Desulfurococcaceae.g Aeropyrum",3
"kraken_7252 Picrophilaceae.g Picrophilus",3
"kraken_7253 Methanomassiliicoccaceae.g Candidatus Methanoplasma",3
"kraken_7256 Zierdtviridae.g Chunghsingvirus",3
"kraken_7258 Zierdtviridae.g Pahexavirus",2
"kraken_7262 .g Nymphadoravirus",3
"kraken_7264 Autographiviridae.g Kroosvirus",3
"kraken_7270 Autographiviridae.g Percyvirus",3
"kraken_7271 Schitoviridae.g Gruunavirus",3
"kraken_7272 Schitoviridae.g Salacisavirus",3
"kraken_7273 Schitoviridae.g Aorunvirus",3
"kraken_7274 Schitoviridae.g Aoqinvirus",3
"kraken_7275 Schitoviridae.g Riverridervirus",3
"kraken_7276 Schitoviridae.g Inbricusvirus",3
"kraken_7277 Schitoviridae.g Matsuvirus",3
"kraken_7278 Suoliviridae.g Muminvirus",3
"kraken_7279 Straboviridae.g Tequatrovirus",3
"kraken_7280 Straboviridae.g Bragavirus",3
"kraken_7281 Autographiviridae.g Teetrevirus",3
"kraken_7282 Autographiviridae.g Tangaroavirus",3
"kraken_7283 Peduoviridae.g Samwavirus",3
"kraken_7284 Zierdtviridae.g Samwavirus",3
"kraken_7285 Kyanoviridae.g Celiavirus",3
"kraken_7288 Straboviridae.g Gesputvirus",3
"kraken_7289 Schitoviridae.g Tanisvirus",3
"kraken_7290 Straboviridae.g Secretariatvirus",3
"kraken_7291 Zierdtviridae.g Cheoctovirus",3
"kraken_7292 Intestiviridae.g Cheoctovirus",3
"kraken_7293 Straboviridae.g Galunavirus",3
"kraken_7294 Kyanoviridae.g Galenevirus",3
"kraken_7295 Schitoviridae.g Pegunavirus",3
"kraken_7296 Zobellviridae.g Chiangmaivirus",3
"kraken_7297 Herelleviridae.g Tybeckvirus",3
"kraken_7299 Casjensviridae.g Menderavirus",3
"kraken_7300 Peduoviridae.g Trinevirus",3
"kraken_7301 Herelleviridae.g Alexandravirus",3
"kraken_7302 Peduoviridae.g Sextaecvirus",3
"kraken_7303 Steigviridae.g Enhodamvirus",3
"kraken_7304 Suoliviridae.g Lanavirus",3
"kraken_7306 Herelleviridae.g Juiceboxvirus",3
"kraken_7307 Herelleviridae.g Korravirus",3
"kraken_7308 Kyanoviridae.g Bixzunavirus",3
"kraken_7309 Vilmaviridae.g Akonivirus",3
"kraken_7310 Kyanoviridae.g Eurybiavirus",3
"kraken_7311 Kyanoviridae.g Luckytenvirus",3
"kraken_7313 Druskaviridae.g Gilsonvirus",3
"kraken_7314 Vilmaviridae.g Marfavirus",3
"kraken_7316 Peduoviridae.g Ravarandavirus",3
"kraken_7317 Zobellviridae.g Phikzvirus",3
"kraken_7318 Kyanoviridae.g Yeceytrevirus",3
"kraken_7319 Alloherpesviridae.g Cyvirus",3
"kraken_7320 Poxviridae.g Capripoxvirus",4
"kraken_7322 Poxviridae.g Leporipoxvirus",3
"kraken_7323 Poxviridae.g Crocodylidpoxvirus",3
"kraken_7325 Mimiviridae.g Tupanvirus",3
"kraken_7326 Iridoviridae.g Lymphocystivirus",3
"kraken_7327 Iridoviridae.g Pandoravirus",3
"kraken_7329 Caulimoviridae.g Badnavirus",3
"kraken_7330 Saccharomycetaceae.g Zygosaccharomyces",3
"kraken_7331 Saccharomycetaceae.g Zygotorulaspora",2
"kraken_7332 Pichiaceae.g Pichia",2
"kraken_7437 Erwiniaceae.g Mixta",6
"kraken_7460 Enterobacteriaceae.g Pseudescherichia",2
"kraken_7473 Hafniaceae.g Hafnia",2
"kraken_7482 Alteromonadaceae.g Lacimicrobium",2
